,User_ID,Active
0,ID_ZZVUJ45W,0.0
1,ID_ZZUNZJ2U,0.0
2,ID_ZZQK0LU6,0.0
3,ID_ZZHDXC1Q,0.0
4,ID_ZYVA36JR,1.0
5,ID_ZYN13Z3T,0.0
6,ID_ZYL80ZN2,0.0
7,ID_ZYERIGP0,0.0
8,ID_ZY795FJZ,0.0
9,ID_ZY6ASSCZ,0.0
10,ID_ZXUM7Q5O,0.0
11,ID_ZXJMSN81,0.0
12,ID_ZWTO2SYC,0.0
13,ID_ZWC1SIMM,0.0
14,ID_ZW6Q2KV0,0.0
15,ID_ZW1MTZRD,0.0
16,ID_ZW1GZNKR,0.0
17,ID_ZVUOMC0S,0.0
18,ID_ZVMDHLAM,0.0
19,ID_ZVEG4D1P,0.0
20,ID_ZVCYRG26,0.0
21,ID_ZV6DUWNJ,0.0
22,ID_ZTSMNYWH,0.0
23,ID_ZT4HIRNJ,0.0
24,ID_ZT1C82G8,0.0
25,ID_ZSQ33WIG,0.0
26,ID_ZSJLOVXM,0.0
27,ID_ZQY8X76Q,0.0
28,ID_ZQIAW70C,0.0
29,ID_ZQBZMLWZ,0.0
30,ID_ZQAE2CLR,0.0
31,ID_ZQ3BGSMX,0.0
32,ID_ZPVRVBKL,1.0
33,ID_ZP21I43F,0.0
34,ID_ZOL38JZF,0.0
35,ID_ZO6SMC8R,0.0
36,ID_ZNVLL362,0.0
37,ID_ZNFNIJ1B,0.0
38,ID_ZMSC00VM,0.0
39,ID_ZMHW50N4,0.0
40,ID_ZM6X4G98,0.0
41,ID_ZLZMR1UX,0.0
42,ID_ZLW4C9XI,0.0
43,ID_ZLK4SRPS,0.0
44,ID_ZLH7K1Z4,0.0
45,ID_ZL5KVZZ7,0.0
46,ID_ZKH5PZ5S,0.0
47,ID_ZKFAB6WY,0.0
48,ID_ZKC7CUVR,1.0
49,ID_ZK53OD8H,0.0
50,ID_ZJXLSO2M,0.0
51,ID_ZJUZBCGK,0.0
52,ID_ZJPX11FD,0.0
53,ID_ZJOPHIDL,0.0
54,ID_ZJG117X5,0.0
55,ID_ZJ5HTQ26,1.0
56,ID_ZIOQ53TD,1.0
